ROI,IN_T,IP_T,Score
ROI001_B1,14.959725823010379,3.323128302905654,0.9707360933681658
ROI005_B3,24.125874005363215,20.907192907400667,0.538411887863936
ROI006_B5,21.63936910478762,10.78869760876297,0.732186483185781
ROI007_C6,24.396133397713925,18.551379557627495,0.5781192909020391
ROI008_D7,24.247182518767424,20.800306844254365,0.5413336386861405
ROI009_D9,24.953464303765156,21.1158774802637,0.5453102043018051
ROI012_E1,33.1343408806364,29.569845664453112,0.5300997948079831
ROI015_B6,23.86713661195131,9.467563065844192,0.8206765194389734
ROI016_F3,24.92433101715289,23.039422459861083,0.5204416789953147
ROI017_F2,28.34689835903653,18.73611569683195,0.6254989199952086
ROI018_G1,22.22149170317896,22.587589454220822,0.4959481097173957
ROI019_G5,12.715396792007366,9.364863671800903,0.5885022096374362
ROI020_E5,19.587096153872917,1.408217166705895,0.9999975246952608
ROI021_E7,11.704806232272196,6.441191863162502,0.6936374443796007
